Date,Close Price
11/24/2016 0:00:00,736.4
11/25/2016 0:00:00,738.28
11/26/2016 0:00:00,732.82
11/27/2016 0:00:00,728.42
11/28/2016 0:00:00,731.75
11/29/2016 0:00:00,731.76
11/30/2016 0:00:00,742.01
12/1/2016 0:00:00,753.25
12/2/2016 0:00:00,771.41
12/3/2016 0:00:00,764.97
12/4/2016 0:00:00,766.46
12/5/2016 0:00:00,750.71
12/6/2016 0:00:00,758.81
12/7/2016 0:00:00,763.9
12/8/2016 0:00:00,766.75
12/9/2016 0:00:00,770.41
12/10/2016 0:00:00,773.21
12/11/2016 0:00:00,768.62
12/12/2016 0:00:00,777.91
12/13/2016 0:00:00,775.25
12/14/2016 0:00:00,776.64
12/15/2016 0:00:00,775.48
12/16/2016 0:00:00,780.85
12/17/2016 0:00:00,788.58
12/18/2016 0:00:00,788.59
12/19/2016 0:00:00,790.16
12/20/2016 0:00:00,798.78
12/21/2016 0:00:00,833.1
12/22/2016 0:00:00,858.74
12/23/2016 0:00:00,916.79
12/24/2016 0:00:00,894.2
12/25/2016 0:00:00,894.48
12/26/2016 0:00:00,902.55
12/27/2016 0:00:00,931.11
12/28/2016 0:00:00,978.01
12/29/2016 0:00:00,969.62
12/30/2016 0:00:00,960.47
12/31/2016 0:00:00,968.23
1/1/2017 0:00:00,997.69
1/2/2017 0:00:00,1018.05
1/3/2017 0:00:00,1030.82
1/4/2017 0:00:00,1129.87
1/5/2017 0:00:00,1005.81
1/6/2017 0:00:00,895.67
1/7/2017 0:00:00,905.17
1/8/2017 0:00:00,913.52
1/9/2017 0:00:00,899.35
1/10/2017 0:00:00,904.79
1/11/2017 0:00:00,775.98
1/12/2017 0:00:00,802.83
1/13/2017 0:00:00,826.12
1/14/2017 0:00:00,818.64
1/15/2017 0:00:00,822.42
1/16/2017 0:00:00,830.26
1/17/2017 0:00:00,904.45
1/18/2017 0:00:00,884.25
1/19/2017 0:00:00,898.02
1/20/2017 0:00:00,891.62
1/21/2017 0:00:00,920.01
1/22/2017 0:00:00,925.33
1/23/2017 0:00:00,912.69
1/24/2017 0:00:00,885.65
1/25/2017 0:00:00,894.11
1/26/2017 0:00:00,915.1
1/27/2017 0:00:00,918.56
1/28/2017 0:00:00,920.28
1/29/2017 0:00:00,914.04
1/30/2017 0:00:00,920.24
1/31/2017 0:00:00,967.67
2/1/2017 0:00:00,987.35
2/2/2017 0:00:00,1007.79
2/3/2017 0:00:00,1018.11
2/4/2017 0:00:00,1033.65
2/5/2017 0:00:00,1013.99
2/6/2017 0:00:00,1024.61
2/7/2017 0:00:00,1052.54
2/8/2017 0:00:00,1054.34
2/9/2017 0:00:00,988.95
2/10/2017 0:00:00,993.08
2/11/2017 0:00:00,1010
2/12/2017 0:00:00,999.51
2/13/2017 0:00:00,996.86
2/14/2017 0:00:00,1009.25
2/15/2017 0:00:00,1009.12
2/16/2017 0:00:00,1034.08
2/17/2017 0:00:00,1053.12
2/18/2017 0:00:00,1058.41
2/19/2017 0:00:00,1052.82
2/20/2017 0:00:00,1083.24
2/21/2017 0:00:00,1123.66
2/22/2017 0:00:00,1122.19
2/23/2017 0:00:00,1178.38
2/24/2017 18:33:00,1185.36
,
This data was produced from the CoinDesk Bitcoin Price Index. BPI value data is listed in USD.,
http://www.coindesk.com/price/,
